        2室2厅1卫，,        50万,禅城朝安,碧桂园曼哈顿,2017年,公寓中层(共23层)					,38平方米,15.00万                    
        3室2厅1卫，,        178万,禅城朝安,时代云图,2017年,普通住宅低层(共28层)					,89平方米,53.40万                    
        2室2厅1卫，,        46万,禅城朝安,碧桂园曼哈顿,2017年,公寓高层(共23层)					,41平方米,13.80万                    
        3室1厅2卫，,        85万,禅城朝安,碧桂园曼哈顿,2017年,公寓中层(共22层)					,51平方米,25.50万                    
        3室2厅2卫，,        208万,禅城朝安,长信东海银湾,2015年,普通住宅中层(共32层)					,89平方米,62.40万                    
        3室2厅1卫，,        178万,禅城朝安,时代云图,2017年,普通住宅低层(共28层)					,89平方米,53.40万                    
        2室2厅1卫，,        46万,禅城朝安,碧桂园曼哈顿,2017年,公寓高层(共23层)					,41平方米,13.80万                    
        3室1厅2卫，,        85万,禅城朝安,碧桂园曼哈顿,2017年,公寓中层(共22层)					,51平方米,25.50万                    
        2室1厅1卫，,        60万,禅城朝安,碧桂园曼哈顿,2017年,普通住宅中层(共23层)					,44平方米,18.00万                    
        1室1厅1卫，,        70万,禅城朝安,长信东海银湾,2015年,普通住宅高层(共32层)					,38.5平方米,21.00万                    
        4室2厅2卫，,        305万,禅城朝安,时代云图,2015年,普通住宅高层(共33层)					,142平方米,91.50万                    
        1室1厅1卫，,        49.8万,禅城朝安,碧桂园曼哈顿,2017年,公寓中层(共25层)					,37平方米,14.94万                    
        4室2厅2卫，,        290万,禅城朝安,长信东海银湾,2012年,普通住宅中层(共29层)					,125平方米,87.00万                    
        4室2厅2卫，,        290万,禅城朝安,长信东海银湾,2015年,普通住宅中层(共33层)					,125平方米,87.00万                    
        3室2厅2卫，,        195万,禅城朝安,长信东海银湾,2012年,普通住宅中层(共32层)					,91平方米,58.50万                    
        3室2厅1卫，,        165万,禅城朝安,长信东海银湾,2014年,普通住宅中层(共32层)					,79.2平方米,49.50万                    
        3室2厅2卫，,        150万,禅城朝安,桂海花园,2015年,普通住宅中层(共28层)					,92平方米,45.00万                    
        2室2厅1卫，,        105万,禅城朝安,长信东海银湾,2014年,普通住宅高层(共32层)					,49平方米,31.50万                    
        3室2厅2卫，,        165万,禅城朝安,长信东海银湾,2015年,普通住宅低层(共32层)					,89平方米,49.50万                    
        3室2厅2卫，,        185万,禅城朝安,长信东海银湾,2015年,普通住宅低层(共32层)					,89平方米,55.50万                    
        3室2厅2卫，,        190万,禅城朝安,长信东海银湾,2014年,普通住宅中层(共31层)					,89.7平方米,57.00万                    
        1室1厅1卫，,        68万,禅城朝安,长信东海银湾,2015年,普通住宅中层(共32层)					,38平方米,20.40万                    
        1室1厅1卫，,        78万,禅城朝安,时代云图,2017年,普通住宅中层(共31层)					,48平方米,23.40万                    
        2室2厅2卫，,        70万,禅城朝安,碧桂园曼哈顿,2017年,公寓中层(共33层)					,44平方米,21.00万                    
        1室1厅1卫，,        50万,禅城朝安,时代云图,2014年,普通住宅中层(共31层)					,31平方米,15.00万                    
        1室1厅1卫，,        65万,禅城朝安,长信东海银湾,2013年,普通住宅中层(共26层)					,38平方米,19.50万                    
        2室2厅2卫，,        68万,禅城朝安,碧桂园曼哈顿,2017年,公寓中层(共33层)					,44平方米,20.40万                    
        3室2厅2卫，,        190万,禅城朝安,长信东海银湾,2013年,普通住宅高层(共29层)					,89平方米,57.00万                    
        1室1厅1卫，,        61万,禅城朝安,长信东海银湾,2015年,普通住宅高层(共31层)					,39平方米,18.30万                    
        4室2厅2卫，,        300万,禅城朝安,长信东海银湾,2015年,普通住宅中层(共20层)					,129平方米,90.00万                    
        3室2厅1卫，,        180万,禅城朝安,时代云图,2012年,普通住宅中层(共33层)					,89平方米,54.00万                    
        3室2厅2卫，,        290万,禅城朝安,长信东海银湾,2012年,普通住宅中层(共32层)					,125平方米,87.00万                    
        2室2厅1卫，,        46万,禅城朝安,果房公寓,2015年,公寓中层(共30层)					,45平方米,13.80万                    
        3室2厅2卫，,        190万,禅城朝安,长信东海银湾,2013年,普通住宅中层(共30层)					,89平方米,57.00万                    
        3室2厅1卫，,        175万,禅城朝安,长信东海银湾,2015年,普通住宅中层(共32层)					,78平方米,52.50万                    
        2室2厅1卫，,        35万,禅城朝安,果房公寓,2015年,普通住宅中层(共26层)					,33平方米,10.50万                    
        3室2厅2卫，,        45万,禅城朝安,下石腾辉名苑,2013年,公寓中层(共22层)					,62平方米,13.50万                    
        2室2厅1卫，,        88万,禅城朝安,南桂西路小区,1999年,普通住宅中层(共8层)					,89平方米,26.40万                    
        3室2厅2卫，,        142万,禅城朝安,桂海花园,2013年,普通住宅低层(共28层)					,91平方米,42.60万                    
        2室2厅1卫，,        60万,禅城朝安,柠檬时代,2017年,普通住宅中层(共32层)					,44平方米,18.00万                    
        3室2厅2卫，,        71万,禅城朝安,碧桂园曼哈顿,2016年,公寓高层(共33层)					,45平方米,21.30万                    
        2室2厅2卫，,        68万,禅城朝安,碧桂园曼哈顿,2017年,普通住宅高层(共33层)					,44平方米,20.40万                    
        3室2厅2卫，,        165万,禅城朝安,长信东海银湾,2015年,普通住宅中层(共32层)					,87.9平方米,49.50万                    
        3室1厅2卫，,        175万,禅城朝安,尚辉苑,2018年,普通住宅低层(共15层)					,110平方米,52.50万                    
        2室2厅1卫，,        180万,禅城朝安,时代云图,2018年,普通住宅中层(共29层)					,78平方米,54.00万                    
        2室2厅1卫，,        82万,禅城朝安,长信东海银湾,2016年,公寓中层(共28层)					,52.6平方米,24.60万                    
        1室1厅1卫，,        50万,禅城朝安,柠檬时代,2012年,公寓中层(共17层)					,42平方米,15.00万                    
        1室1厅1卫，,        68万,禅城朝安,柠檬时代,2008年,普通住宅中层(共17层)					,40平方米,20.40万                    
        3室2厅1卫，,        180万,禅城朝安,长信东海银湾,2015年,普通住宅中层(共32层)					,89平方米,54.00万                    
        4室2厅2卫，,        310万,禅城朝安,时代云图,2014年,普通住宅中层(共32层)					,143平方米,93.00万                    
        3室2厅2卫，,        180万,禅城朝安,尚辉苑,2002年,普通住宅低层(共20层)					,110平方米,54.00万                    
        2室1厅1卫，,        65万,禅城朝安,碧桂园曼哈顿,2013年,公寓中层(共28层)					,50平方米,19.50万                    
        3室2厅2卫，,        126万,禅城朝安,尚辉苑,2015年,普通住宅中层(共20层)					,87.3平方米,37.80万                    
        3室2厅2卫，,        160万,禅城朝安,长信东海银湾,2013年,普通住宅中层(共33层)					,90平方米,48.00万                    
